complaint_id,description,category,subcategory,latitude,longitude,timestamp,ground_truth_issue_id,is_duplicate
18,The water coming from the tap around the Sathyamangalam Road area looks muddy and discolored. It is causing inconvenience to daily commuters.,Water,Water quality,11.037628,77.036363,2026-07-24 08:54,ISSUE_0334,True
19,"The underground drain at Thudiyalur seems blocked, water is coming up onto the street. Children walk through this area every day, so it needs urgent attention.",Drainage,Drain overflow,11.081659,76.945898,2026-07-24 03:32,ISSUE_0254,False
20,I nearly lost control of my bike because of a pothole around the Eachanari area. Elderly residents are finding it especially difficult.,Road,Pothole,10.953246,76.955056,2026-08-18 03:29,ISSUE_0008,True
21,"The pipeline in front of Kavundampalayam seems to have an interruption, no water is coming through.",Water,Water supply,11.049246,76.947375,2026-07-01 18:38,ISSUE_0300,True
22,The smell from the overflowing drain beside the Podanur bus stop is unbearable. Elderly residents are finding it especially difficult. This has been the case since the last heavy rain.,Drainage,Drain overflow,10.969047,76.975023,2026-07-06 10:48,ISSUE_0246,False
23,"Residents on the Pollachi Road main road have noticed a yellowish tint in the tap water. Not a big problem yet, just flagging it. This has been the case for a few weeks.",Water,Water quality,10.933844,76.967677,2026-07-10 00:24,ISSUE_0336,True
24,The road in front of Town Hall has developed ridges and dips that jolt every vehicle passing.,Road,Road damage,10.99301,76.963371,2026-07-02 17:30,ISSUE_0050,True
25,The streetlight just outside Saibaba Colony was damaged in a storm and hasn't been fixed. Several people in the area have noticed this.,Streetlight,Broken streetlight,11.019209,76.936573,2026-07-25 10:43,ISSUE_0119,True
26,"The supply line beside the Gandhipuram bus stop appears to have a leak, reducing pressure downstream. This has been the case for several days.",Water,Water supply,11.015502,76.963819,2026-08-08 20:30,ISSUE_0310,True
27,"Rainwater is not draining in front of Ganapathy Bus Stand, leaving the road waterlogged for days. It's a small issue but worth noting.",Drainage,Waterlogging,11.039066,76.96833,2026-08-15 01:08,ISSUE_0264,True
28,The signal light near Ganapathy is not working at all today. It is causing inconvenience to daily commuters.,Road,Traffic signal,11.032811,76.967153,2026-07-06 03:18,ISSUE_0079,True
29,An exposed cable in front of Ram Nagar poses a serious shock risk to children playing nearby.,Electricity,Electrical hazard,11.001014,76.961064,2026-08-15 22:07,ISSUE_0416,True
30,"The garbage van skipped our street just outside Thudiyalur again this week. Not a big problem yet, just flagging it. This has been the case since yesterday.",Sanitation,Garbage collection,11.075642,76.946005,2026-07-02 03:33,ISSUE_0164,False
31,This exposed wiring beside the Trichy Road bus stop is a serious safety hazard for the whole street.,Electricity,Electrical hazard,10.985284,77.007546,2026-08-18 00:54,ISSUE_0406,True
32,I nearly lost control of my bike because of a pothole close to Saravanampatti. This is a serious safety risk for everyone nearby.,Road,Pothole,11.072243,77.006726,2026-08-17 13:34,ISSUE_0018,True
33,Cars are slowing down suddenly near Malumichampatti to avoid a deep pothole. This is becoming a regular nuisance for residents. This has been the case since last week.,Road,Pothole,10.929339,76.988216,2026-08-10 01:51,ISSUE_0029,False
34,"Rainwater is not draining close to Rathinapuri, leaving the road waterlogged for days.",Drainage,Waterlogging,10.989192,76.945812,2026-07-10 06:32,ISSUE_0271,True
35,Builders seem to be dumping leftover material beside the Ondipudur Bypass bus stop illegally.,Sanitation,Waste dumping,11.01121,77.051006,2026-08-08 19:37,ISSUE_0189,True
36,People close to Sitra are avoiding the footpath because of overflowing drain water.,Drainage,Drain overflow,10.975919,76.995907,2026-07-27 03:44,ISSUE_0242,False
37,Garbage bags are being thrown around the Ukkadam area instead of using the designated bins. This has been the case since yesterday.,Sanitation,Waste dumping,10.990826,76.956966,2026-07-07 03:49,ISSUE_0195,True
38,The pothole in front of Rathinapuri has expanded after the rain and is now quite deep.,Road,Pothole,10.990415,76.941752,2026-07-04 14:07,ISSUE_0039,False
39,Power has gone off at Podanur multiple times today. It is causing inconvenience to daily commuters.,Electricity,Power outage,10.965926,76.974552,2026-07-25 10:02,ISSUE_0377,True
40,This pothole along the stretch near Sowripalayam is filled with water and impossible to spot at night.,Road,Pothole,10.999064,76.996848,2026-08-05 03:24,ISSUE_0028,False
41,The whole row of lights close to Kalapatti seems to be non-functional right now.,Streetlight,Broken streetlight,11.073021,77.031363,2026-08-17 14:49,ISSUE_0125,True
42,The area along the stretch near Ramanathapuram has garbage strewn about since the truck didn't show up. Many residents in the area are affected by this. This has been the case since last week.,Sanitation,Garbage collection,10.998797,76.983717,2026-07-19 23:21,ISSUE_0165,False
43,Traffic has come to a halt at Ganapathy Bus Stand due to flooded streets.,Drainage,Waterlogging,11.039738,76.968186,2026-07-12 02:29,ISSUE_0264,True
44,The whole street in the Sowripalayam locality has been without power since last night. Vehicles are getting damaged because of this.,Electricity,Power outage,11.000373,76.990576,2026-08-13 02:53,ISSUE_0388,False
45,"Cracks have widened over time on the road beside the Peelamedu bus stop, it needs resurfacing. This has been the case for over a month now.",Road,Road damage,11.029245,77.026644,2026-08-05 16:14,ISSUE_0047,True
46,"The road in front of Thudiyalur needs urgent repair, there's a huge pothole right there.",Road,Pothole,11.076547,76.942017,2026-08-13 01:13,ISSUE_0007,True
47,"Someone needs to check the signal box in front of Uppilipalayam, it keeps resetting randomly.",Road,Traffic signal,10.990541,77.023421,2026-08-01 22:22,ISSUE_0089,True
48,Edges of the road at Kavundampalayam are crumbling into the drain alongside. This has been the case since yesterday.,Road,Road damage,11.046739,76.943834,2026-07-21 11:13,ISSUE_0067,False
49,Power supply in the Chinniampalayam locality keeps fluctuating before cutting off completely. Several people in the area have noticed this.,Electricity,Power outage,11.089791,77.017569,2026-07-15 19:19,ISSUE_0367,True
50,Half the lane around the Peelamedu area has collapsed slightly due to poor drainage underneath. Noticed it this morning while passing by.,Road,Road damage,11.029241,77.023718,2026-07-18 22:56,ISSUE_0046,True
51,Sparks were seen coming from an electric pole in the Ramanathapuram locality yesterday. It is causing inconvenience to daily commuters.,Electricity,Electrical hazard,10.991448,76.9831,2026-07-02 12:25,ISSUE_0421,False
52,The water in the Kuniyamuthur locality tastes odd and doesn't seem fit for drinking. Many residents in the area are affected by this.,Water,Water quality,10.97167,76.950021,2026-08-18 05:59,ISSUE_0333,True
53,This overflow around the Ukkadam area keeps recurring every monsoon season. Noticed it this morning while passing by.,Drainage,Drain overflow,10.990763,76.958631,2026-07-13 14:21,ISSUE_0227,True
54,Garbage bags are being thrown beside the Sowripalayam bus stop instead of using the designated bins. Vehicles are getting damaged because of this.,Sanitation,Waste dumping,11.003014,76.991365,2026-07-31 14:22,ISSUE_0185,True
55,Several streetlights beside the Ram Nagar bus stop are not lighting up after sunset. This has been the case for a few weeks.,Streetlight,Broken streetlight,10.99903,76.962581,2026-07-07 15:12,ISSUE_0146,False
56,The stretch near the bridge along the stretch near Selvapuram floods badly with even moderate rain. This needs to be fixed immediately before someone gets hurt.,Drainage,Waterlogging,10.983969,76.930636,2026-07-29 12:20,ISSUE_0263,True
57,"The underground drain on the Vadavalli Bridge main road seems blocked, water is coming up onto the street.",Drainage,Drain overflow,11.020605,76.9007,2026-07-06 20:44,ISSUE_0247,False
58,There's a hole in the road surface in front of Sowripalayam that's been there for a while.,Road,Pothole,11.003036,76.994235,2026-07-15 21:45,ISSUE_0016,True
59,No one has picked up the garbage in front of Kuniyamuthur in over a week. This has been the case since last week.,Sanitation,Garbage collection,10.972405,76.950433,2026-08-16 03:56,ISSUE_0152,True
60,The streetlight around the Vellalore area was damaged in a storm and hasn't been fixed. This is a serious safety risk for everyone nearby. This has been the case for over a month now.,Streetlight,Broken streetlight,10.944503,76.995531,2026-07-17 02:16,ISSUE_0122,True
61,"A crater-like pothole has opened up just outside Eachanari near the roadside. Not a big problem yet, just flagging it.",Road,Pothole,10.952595,76.955627,2026-08-19 08:26,ISSUE_0008,True
62,"The transformer at Sathyamangalam Road seems to have tripped, cutting power to the area. This has been the case since yesterday.",Electricity,Power outage,11.04172,77.034977,2026-08-09 16:35,ISSUE_0371,True
63,Power supply near Ram Nagar keeps fluctuating before cutting off completely. This has been the case for quite some time.,Electricity,Power outage,11.004574,76.960583,2026-08-04 08:56,ISSUE_0385,False
64,"Electricity in front of Lakshmi Mills went out during the storm and hasn't returned. Not a big problem yet, just flagging it.",Electricity,Power outage,11.008498,76.956258,2026-07-19 06:26,ISSUE_0381,True
65,The water close to Sundarapuram tastes odd and doesn't seem fit for drinking. This has been the case for several days.,Water,Water quality,10.97129,76.967459,2026-07-13 19:43,ISSUE_0348,False
66,"The entire road in front of Peelamedu Pudur is underwater following last night's rain. Not a big problem yet, just flagging it.",Drainage,Waterlogging,11.026113,77.035269,2026-07-22 12:37,ISSUE_0274,True
67,There's a hole in the road surface near Rathinapuri that's been there for a while. This is becoming a regular nuisance for residents.,Road,Pothole,10.990234,76.943393,2026-08-12 13:01,ISSUE_0014,True
68,The lamp post on the Vadavalli main road has been flickering for days before finally going out. This has been the case since last week.,Streetlight,Broken streetlight,11.018705,76.903637,2026-07-12 17:20,ISSUE_0114,True
69,Several streetlights around the Sowripalayam area are not lighting up after sunset. Noticed it this morning while passing by.,Streetlight,Broken streetlight,11.00146,76.992446,2026-07-21 09:18,ISSUE_0126,True
70,"The water in the Pollachi Road locality tastes odd and doesn't seem fit for drinking. Not a big problem yet, just flagging it.",Water,Water quality,10.934197,76.966804,2026-07-15 13:31,ISSUE_0341,True
71,We lost power beside the Lakshmi Mills bus stop hours ago and there's still no sign of restoration.,Electricity,Power outage,11.008483,76.956209,2026-08-17 19:49,ISSUE_0381,True
72,Kids playing in front of Pollachi Road in the evening have almost no visibility once it gets dark. Noticed it this morning while passing by.,Streetlight,Broken streetlight,10.937249,76.973281,2026-07-30 07:04,ISSUE_0134,False
73,A damaged electrical box at Eachanari is exposed and unsafe. This is unsafe and could lead to an accident.,Electricity,Electrical hazard,10.95384,76.955577,2026-07-04 12:47,ISSUE_0413,True
74,"The light on the Sowripalayam main road flickers on and off intermittently, never staying lit. This is becoming a regular nuisance for residents. This has been the case since the last heavy rain.",Streetlight,Broken streetlight,11.000815,76.994487,2026-07-17 13:45,ISSUE_0115,True
75,A streetlight along the stretch near Kovaipudur fell over after last week's winds and hasn't been reinstalled. It is causing inconvenience to daily commuters.,Streetlight,Broken streetlight,10.943176,76.913748,2026-07-30 07:53,ISSUE_0123,True
76,"The road around the Hopes College area needs urgent repair, there's a huge pothole right there. Not a big problem yet, just flagging it.",Road,Pothole,11.008171,76.942126,2026-08-19 17:02,ISSUE_0013,True
77,Roadside dumping along the stretch near Uppilipalayam has become a regular eyesore.,Sanitation,Waste dumping,10.988617,77.021036,2026-07-23 11:06,ISSUE_0191,True
78,The sewage line just outside Ram Nagar appears to have backed up and is overflowing. This is becoming a regular nuisance for residents.,Drainage,Drain overflow,10.999246,76.960733,2026-07-18 16:08,ISSUE_0225,True
79,Drivers are ignoring the malfunctioning signal in front of Kuniyamuthur and crossing anyhow. This is a serious safety risk for everyone nearby.,Road,Traffic signal,10.966669,76.948632,2026-07-07 00:25,ISSUE_0100,False
80,"This junction's signal on the Vellalore main road has been unreliable for days now. Not a big problem yet, just flagging it.",Road,Traffic signal,10.942893,76.992825,2026-07-01 20:56,ISSUE_0088,True
81,The area at Race Course has garbage strewn about since the truck didn't show up. Elderly residents are finding it especially difficult.,Sanitation,Garbage collection,10.998514,76.956606,2026-07-25 17:53,ISSUE_0162,True
82,Loose wires are dangling just outside Ramanathapuram close to where people walk.,Electricity,Electrical hazard,10.993031,76.985225,2026-08-14 12:37,ISSUE_0414,True
83,Residents in front of Kalapatti have noticed a yellowish tint in the tap water.,Water,Water quality,11.071986,77.031127,2026-07-02 21:15,ISSUE_0342,True
84,Wastewater keeps overflowing along the stretch near Ondipudur creating a foul smell. Elderly residents are finding it especially difficult.,Drainage,Drain overflow,11.003584,77.048118,2026-07-10 22:54,ISSUE_0228,True
85,Traffic lights around the Chinniampalayam area are flickering and confusing drivers. Several people in the area have noticed this.,Road,Traffic signal,11.089137,77.019123,2026-08-06 02:36,ISSUE_0082,True
86,A deep pit has developed on the carriageway just outside Avinashi Road. This has been ignored despite earlier complaints.,Road,Pothole,11.021309,77.001761,2026-07-22 17:40,ISSUE_0027,False
87,A blocked drain around the Kuniyamuthur area is causing water to stagnate near the shops.,Drainage,Drain overflow,10.966538,76.954409,2026-07-28 11:23,ISSUE_0244,False
88,Truckloads of debris have been dumped on the Vellalore main road without any authorization. Several people in the area have noticed this.,Sanitation,Waste dumping,10.946189,76.990381,2026-07-27 02:00,ISSUE_0197,True
89,"The supply line along the stretch near Uppilipalayam appears to have a leak, reducing pressure downstream. Many residents in the area are affected by this. This has been the case since the last heavy rain.",Water,Water supply,10.985893,77.02385,2026-07-22 17:05,ISSUE_0306,True
90,Cars are slowing down suddenly in the Vilankurichi locality to avoid a deep pothole. This has been the case for quite some time.,Road,Pothole,11.01314,77.01949,2026-07-25 10:19,ISSUE_0017,True
91,"The supply line around the Gandhipuram area appears to have a leak, reducing pressure downstream.",Water,Water supply,11.014105,76.964947,2026-08-06 13:45,ISSUE_0310,True
92,"Please fix the pothole at Vadavalli Market, it's damaging vehicle tyres. It's a small issue but worth noting. This has been the case for quite some time.",Road,Pothole,11.020344,76.905365,2026-07-18 16:45,ISSUE_0011,True
93,Traffic backs up along the stretch near Lakshmi Mills every morning because the signal cycle is too short. Several people in the area have noticed this.,Road,Traffic signal,11.006176,76.949511,2026-07-24 05:18,ISSUE_0104,False
94,Bins at Mettupalayam Road are full and spilling onto the footpath. Several people in the area have noticed this.,Sanitation,Garbage collection,11.047592,76.94898,2026-07-12 22:28,ISSUE_0160,True
95,This overflow along the stretch near Hopes College keeps recurring every monsoon season. This has been the case since yesterday.,Drainage,Drain overflow,11.008918,76.942961,2026-07-22 10:45,ISSUE_0224,True
96,The overhead tank around the Gandhipuram area isn't filling properly due to supply issues. Several people in the area have noticed this.,Water,Water supply,11.015407,76.965059,2026-08-06 06:28,ISSUE_0310,True
97,Traffic backs up just outside Kuniyamuthur every morning because the signal cycle is too short. Several people in the area have noticed this.,Road,Traffic signal,10.967393,76.952912,2026-07-28 06:49,ISSUE_0083,True
98,The quality of drinking water near Pollachi Road needs to be tested urgently.,Water,Water quality,10.934491,76.967642,2026-08-17 19:02,ISSUE_0341,True
99,The water supply timing close to Ganapathy keeps changing without any notice. This has been the case for over a month now.,Water,Water supply,11.033936,76.966725,2026-07-16 19:24,ISSUE_0309,True
100,The water near Peelamedu tastes odd and doesn't seem fit for drinking. It's a small issue but worth noting.,Water,Water quality,11.027237,77.025578,2026-07-11 00:38,ISSUE_0344,True
101,Dirty water from the drain on the Neelambur main road is spilling onto the footpath. Noticed it this morning while passing by.,Drainage,Drain overflow,10.999476,77.064329,2026-07-19 03:17,ISSUE_0232,True
102,Power supply on the Ondipudur main road keeps fluctuating before cutting off completely. This has been the case since yesterday.,Electricity,Power outage,11.004548,77.043422,2026-07-30 00:33,ISSUE_0402,False
103,The entire road around the Ramanathapuram area is underwater following last night's rain.,Drainage,Waterlogging,10.99552,76.984829,2026-07-26 17:02,ISSUE_0270,True
104,The corporation water hasn't arrived just outside Sitra for three days straight.,Water,Water supply,10.975291,76.998039,2026-07-19 11:27,ISSUE_0299,True
105,We are forced to buy bottled water because the tap water on the Peelamedu main road is unsafe.,Water,Water quality,11.027614,77.026043,2026-07-15 06:32,ISSUE_0344,True
106,The supplied water in front of Ramanathapuram appears contaminated with sediment. This has been the case for the past two days.,Water,Water quality,10.993227,76.978306,2026-08-04 14:44,ISSUE_0359,False
107,"Water comes only late at night around the Town Hall area, making it hard to store enough. It's a small issue but worth noting.",Water,Water supply,10.994954,76.965045,2026-07-04 23:54,ISSUE_0298,True
108,Water supply just outside Kavundampalayam Bypass has become unpredictable over the last month. Vehicles are getting damaged because of this.,Water,Water supply,11.052886,76.952385,2026-08-19 20:59,ISSUE_0325,False
109,Households on the Kalapatti main road are struggling without a consistent water supply. This has been the case for the past two days.,Water,Water supply,11.071415,77.029751,2026-07-12 07:12,ISSUE_0305,True
110,This pothole close to Thudiyalur is filled with water and impossible to spot at night.,Road,Pothole,11.076283,76.94301,2026-07-05 22:20,ISSUE_0007,True
111,The road along the stretch near Kalapatti has eroded badly after the recent rains. Several people in the area have noticed this.,Road,Road damage,11.073542,77.032043,2026-07-07 18:00,ISSUE_0054,True
112,The junction at Mettupalayam Road turns into a small lake after every monsoon shower. Vehicles are getting damaged because of this.,Drainage,Waterlogging,11.044456,76.946192,2026-07-05 22:54,ISSUE_0294,False
113,"Several streetlights along the stretch near Saibaba Colony are not lighting up after sunset. Not a big problem yet, just flagging it.",Streetlight,Broken streetlight,11.019568,76.93713,2026-08-15 23:27,ISSUE_0119,True
114,There is a growing dump of mixed waste on the Kovaipudur main road near the compound wall. It is causing inconvenience to daily commuters.,Sanitation,Waste dumping,10.940184,76.916385,2026-07-22 00:26,ISSUE_0190,True
115,The entire stretch on the Ram Nagar main road looks like it hasn't been repaired in years.,Road,Road damage,11.003418,76.965769,2026-08-10 02:29,ISSUE_0048,True
116,Someone dumped a truckload of rubble in front of Uppilipalayam blocking part of the footpath. It is causing inconvenience to daily commuters. This has been the case for the past two days.,Sanitation,Waste dumping,10.989618,77.02066,2026-07-19 11:05,ISSUE_0191,True
117,Residents at Saravanampatti say the pothole has been ignored for weeks. Vehicles are getting damaged because of this.,Road,Pothole,11.072431,77.007688,2026-07-07 11:59,ISSUE_0018,True
118,Households beside the Gandhipuram bus stop are struggling without a consistent water supply. This is becoming a regular nuisance for residents.,Water,Water supply,11.0143,76.963657,2026-07-03 16:48,ISSUE_0310,True
119,No one has picked up the garbage around the Avinashi Road area in over a week.,Sanitation,Garbage collection,11.020949,77.002634,2026-07-13 00:49,ISSUE_0154,True
120,"Electricity in the Vadavalli locality has been unstable, going off every few hours. Elderly residents are finding it especially difficult.",Electricity,Power outage,11.019393,76.902652,2026-08-13 22:29,ISSUE_0374,True
121,"There's no signal control along the stretch near Vadavalli at all, it seems to have shut down.",Road,Traffic signal,11.021386,76.907034,2026-07-08 10:50,ISSUE_0077,True
122,No water has reached the taps at Chinniampalayam since the pipeline work started. This has been ignored despite earlier complaints.,Water,Water supply,11.088137,77.018495,2026-07-18 03:02,ISSUE_0319,False
123,The waste collection truck hasn't come along the stretch near Ram Nagar this week at all. It's a small issue but worth noting.,Sanitation,Garbage collection,11.004482,76.961038,2026-08-05 08:54,ISSUE_0176,False
124,The smell from the overflowing drain along the stretch near Kovaipudur is unbearable. This is becoming a regular nuisance for residents.,Drainage,Drain overflow,10.93862,76.917115,2026-08-06 04:28,ISSUE_0231,True
125,Wastewater keeps overflowing in the Hopes College locality creating a foul smell.,Drainage,Drain overflow,11.009741,76.944532,2026-08-16 04:44,ISSUE_0224,True
126,Vehicles are struggling over the broken patch of road beside the Kovaipudur bus stop.,Road,Road damage,10.94135,76.915304,2026-07-06 16:03,ISSUE_0065,False
127,The stretch near the bridge along the stretch near Vellalore floods badly with even moderate rain. It's a small issue but worth noting.,Drainage,Waterlogging,10.944924,76.996052,2026-08-09 07:15,ISSUE_0268,True
128,Flies and stray dogs are gathering around the uncollected waste along the stretch near Vilankurichi. Many residents in the area are affected by this.,Sanitation,Garbage collection,11.016242,77.016212,2026-07-21 22:17,ISSUE_0157,True
129,Water pressure in front of Kavundampalayam Bypass has been extremely low this week. Noticed it this morning while passing by.,Water,Water supply,11.051678,76.947668,2026-07-20 18:36,ISSUE_0304,True
130,This water on the Pollachi Road main road doesn't look safe to drink at all. The water appears contaminated and unsafe to use.,Water,Water quality,10.934026,76.96715,2026-07-10 13:22,ISSUE_0336,True
131,The road in the RS Puram locality is filled with knee-deep water right now. This has been the case since the last heavy rain.,Drainage,Waterlogging,11.004153,76.953708,2026-08-10 14:15,ISSUE_0276,False
132,People from outside the area are dumping trash in front of Eachanari at night. Many residents in the area are affected by this.,Sanitation,Waste dumping,10.95271,76.951559,2026-07-07 04:26,ISSUE_0211,False
133,Residents beside the Town Hall bus stop are relying on tankers because the supply has stopped. This needs to be fixed immediately before someone gets hurt.,Water,Water supply,10.994541,76.963905,2026-07-26 11:49,ISSUE_0298,True
134,"The transformer close to Lakshmi Mills seems to have tripped, cutting power to the area. Many residents in the area are affected by this.",Electricity,Power outage,11.007904,76.956074,2026-07-06 12:57,ISSUE_0381,True
135,The color of the water in front of Pollachi Road changes between clear and brownish. This is unsafe and could lead to an accident.,Water,Water quality,10.93289,76.967807,2026-07-18 12:48,ISSUE_0336,True
136,The area near Eachanari has garbage strewn about since the truck didn't show up. Vehicles are getting damaged because of this. This has been the case since the last heavy rain.,Sanitation,Garbage collection,10.952104,76.951296,2026-07-14 02:44,ISSUE_0150,True
137,The road around the Chinniampalayam area has eroded badly after the recent rains. This has been the case since yesterday.,Road,Road damage,11.086351,77.017525,2026-07-30 14:22,ISSUE_0043,True
138,Chunks of the road close to Peelamedu have crumbled away leaving an uneven surface. Several people in the area have noticed this.,Road,Road damage,11.028304,77.026352,2026-08-17 21:55,ISSUE_0047,True
139,There's been an irregular water supply near Town Hall for over a week now. This is becoming a regular nuisance for residents.,Water,Water supply,10.994109,76.964631,2026-08-20 22:08,ISSUE_0298,True
140,There are long cracks running across the road in the Malumichampatti locality. Several people in the area have noticed this.,Road,Road damage,10.926021,76.990274,2026-08-20 16:12,ISSUE_0044,True
141,The surface near Podanur is patchy with old repairs breaking down again. This is becoming a regular nuisance for residents.,Road,Road damage,10.968478,76.974375,2026-08-10 05:39,ISSUE_0045,True
142,A broken electrical fixture just outside Vadavalli is sparking intermittently. Many residents in the area are affected by this.,Electricity,Electrical hazard,11.020199,76.902617,2026-07-17 05:11,ISSUE_0440,False
143,A streetlight close to Kalapatti fell over after last week's winds and hasn't been reinstalled.,Streetlight,Broken streetlight,11.072062,77.03034,2026-07-16 12:29,ISSUE_0125,True
144,We are forced to buy bottled water because the tap water in the Peelamedu locality is unsafe.,Water,Water quality,11.027409,77.02604,2026-07-20 23:08,ISSUE_0344,True
145,"The signal near Kuniyamuthur is out of sync, causing jams in every direction. This has been the case since the last heavy rain.",Road,Traffic signal,10.968412,76.952997,2026-07-31 11:14,ISSUE_0083,True
146,We've been without water along the stretch near Gandhipuram since the maintenance work began. This has been the case for the past two days.,Water,Water supply,11.014526,76.965082,2026-07-04 19:26,ISSUE_0310,True
147,"One side of the signal just outside Vellalore stays green far too long, blocking cross traffic. This is becoming a regular nuisance for residents.",Road,Traffic signal,10.942199,76.992457,2026-07-16 18:26,ISSUE_0088,True
148,"The streetlight wiring close to Rathinapuri looks damaged, possibly why it isn't lighting. This is a serious safety risk for everyone nearby.",Streetlight,Broken streetlight,10.986799,76.946099,2026-08-09 12:31,ISSUE_0116,True
149,This area at Saravanampatti always floods whenever there's heavy rain. Elderly residents are finding it especially difficult.,Drainage,Waterlogging,11.06972,77.008908,2026-07-04 08:22,ISSUE_0286,False
150,Someone dumped a truckload of rubble close to Trichy Road blocking part of the footpath. Many residents in the area are affected by this.,Sanitation,Waste dumping,10.987977,77.006233,2026-08-07 15:10,ISSUE_0198,True
151,A crater-like pothole has opened up at Vadavalli Market near the roadside. This is becoming a regular nuisance for residents. This has been the case since last week.,Road,Pothole,11.019465,76.905923,2026-08-17 03:29,ISSUE_0011,True
152,"The quality of drinking water along the stretch near Ganapathy needs to be tested urgently. Not a big problem yet, just flagging it.",Water,Water quality,11.033153,76.973813,2026-08-02 11:06,ISSUE_0345,False
153,"Collection close to Race Course used to be regular but has become very irregular lately. Not a big problem yet, just flagging it.",Sanitation,Garbage collection,10.99773,76.955961,2026-07-08 13:51,ISSUE_0162,True
154,"One side of the signal close to Vilankurichi stays green far too long, blocking cross traffic. Noticed it this morning while passing by.",Road,Traffic signal,11.016706,77.016516,2026-07-26 22:25,ISSUE_0094,False
155,An exposed cable near Trichy Road poses a serious shock risk to children playing nearby. This has been the case since last week.,Electricity,Electrical hazard,10.98595,77.008886,2026-07-21 10:36,ISSUE_0406,True
156,The damaged stretch in front of Kavundampalayam Bypass is especially hard to navigate after rain.,Road,Road damage,11.050347,76.948635,2026-07-26 11:06,ISSUE_0042,True
157,Cross traffic around the Kuniyamuthur area is a mess without a working signal. Vehicles are getting damaged because of this.,Road,Traffic signal,10.967919,76.953457,2026-08-11 16:12,ISSUE_0083,True
158,Power supply along the stretch near Singanallur keeps fluctuating before cutting off completely. This is a serious safety risk for everyone nearby. This has been the case for a few weeks.,Electricity,Power outage,11.002413,77.026648,2026-07-25 01:48,ISSUE_0368,True
159,The low-lying stretch just outside Neelambur floods every time it rains. It's a small issue but worth noting.,Drainage,Waterlogging,11.000584,77.066056,2026-07-11 23:27,ISSUE_0265,True
160,The underpass in the Hopes College locality is submerged and impassable after the rain. This has been ignored despite earlier complaints.,Drainage,Waterlogging,11.00972,76.94366,2026-08-13 02:01,ISSUE_0269,True
